submitted_month,sunmitted_time,user_id,video_id,video_title,time_watched
16-12-2020,18:50:19,265528,XB-4e_e5vu4,"Dr. Shilpa informs on a daily iron, calcium and protein rich diet.",359
19-12-2020,17:51:39,268442,XB-4e_e5vu4,"Dr. Shilpa informs on a daily iron, calcium and protein rich diet.",359
08-02-2021,18:35:29,276791,XB-4e_e5vu4,"Dr. Shilpa informs on a daily iron, calcium and protein rich diet.",359
27-11-2020,09:56:31,263260,XB-4e_e5vu4,"Dr. Shilpa informs on a daily iron, calcium and protein rich diet.",356
14-12-2020,18:16:09,267080,XB-4e_e5vu4,"Dr. Shilpa informs on a daily iron, calcium and protein rich diet.",338
22-11-2020,06:42:29,264099,P51JO5233Rk,"Satisfy Hunger Pangs with Healthy Snacking, Says Dr. Shilpa.",290
22-12-2020,06:39:46,263251,P51JO5233Rk,"Satisfy Hunger Pangs with Healthy Snacking, Says Dr. Shilpa.",290
26-12-2020,06:45:57,264941,P51JO5233Rk,"Satisfy Hunger Pangs with Healthy Snacking, Says Dr. Shilpa.",290
09-01-2021,12:33:50,270255,P51JO5233Rk,"Satisfy Hunger Pangs with Healthy Snacking, Says Dr. Shilpa.",290
07-02-2021,07:09:38,269972,P51JO5233Rk,"Satisfy Hunger Pangs with Healthy Snacking, Says Dr. Shilpa.",290
23-11-2020,20:52:34,255324,P51JO5233Rk,"Satisfy Hunger Pangs with Healthy Snacking, Says Dr. Shilpa.",289
22-12-2020,14:58:57,266295,P51JO5233Rk,"Satisfy Hunger Pangs with Healthy Snacking, Says Dr. Shilpa.",289
23-12-2020,03:05:17,266295,P51JO5233Rk,"Satisfy Hunger Pangs with Healthy Snacking, Says Dr. Shilpa.",289
23-11-2020,20:52:19,255324,P51JO5233Rk,"Satisfy Hunger Pangs with Healthy Snacking, Says Dr. Shilpa.",276
23-12-2020,17:32:11,266295,GUoGr9a_GRk,Dr. Shilpa informs on the importance of mainTaining calcium and iron levels.,252
18-01-2021,08:58:59,270255,GUoGr9a_GRk,Dr. Shilpa informs on the importance of mainTaining calcium and iron levels.,252
31-01-2021,12:04:52,268058,GUoGr9a_GRk,Dr. Shilpa informs on the importance of mainTaining calcium and iron levels.,252
